@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 {0,1,2}

@data
180,'2022/11/20 22:45:25:322',2,0.019703,0.000857,0.008233,0.389276,-1.25525,-2.535989,0,?
181,'2022/11/20 22:45:25:356',2,0.001899,0.005998,-0.002765,0.388781,-1.255382,-2.536587,0,?
182,'2022/11/20 22:45:25:388',2,-0.0019,0.007947,-0.002539,0.388611,-1.254748,-2.537135,0,?
183,'2022/11/20 22:45:25:422',2,0.006827,0.000501,0.000788,0.389023,-1.254571,-2.53753,0,?
184,'2022/11/20 22:45:25:455',2,0.010934,0.003768,-0.001482,0.389075,-1.254699,-2.537784,0,?
185,'2022/11/20 22:45:25:488',2,0.006265,0.003794,0.002003,0.389037,-1.254281,-2.537346,0,?
186,'2022/11/20 22:45:25:521',2,0.006419,0.000375,0.013438,0.389118,-1.254332,-2.537068,0,?
187,'2022/11/20 22:45:25:555',2,0.013948,0.004453,0.002068,0.388924,-1.253319,-2.538098,0,?
188,'2022/11/20 22:45:25:589',2,0.019309,0.004113,0.002665,0.388705,-1.252114,-2.53886,0,?
189,'2022/11/20 22:45:25:622',2,0.017047,-0.005719,0.002932,0.387859,-1.251317,-2.539706,0,?
190,'2022/11/20 22:45:25:655',2,-0.013224,0.004979,-0.015681,0.386822,-1.249892,-2.541198,0,?
191,'2022/11/20 22:45:25:688',2,-0.005975,0.007717,-0.020266,0.387209,-1.249483,-2.540946,0,?
192,'2022/11/20 22:45:25:722',2,0.004891,0.002941,0.009451,0.387835,-1.250205,-2.538786,0,?
193,'2022/11/20 22:45:25:755',2,0.003931,0.002692,0.022376,0.387995,-1.250773,-2.537373,0,?
194,'2022/11/20 22:45:25:788',2,0.009213,0.001876,0.022196,0.387987,-1.250666,-2.537228,0,?
195,'2022/11/20 22:45:25:822',2,0.009639,0.000343,0.013973,0.387617,-1.251149,-2.537314,0,?
196,'2022/11/20 22:45:25:855',2,-0.005098,0.006639,0.007091,0.387198,-1.251328,-2.537812,0,?
197,'2022/11/20 22:45:25:888',2,0.005012,-0.000952,0.004993,0.387503,-1.25126,-2.538064,0,?
198,'2022/11/20 22:45:25:922',2,0.016335,0.002364,0.015947,0.387921,-1.251831,-2.538647,0,?
199,'2022/11/20 22:45:25:955',2,0.001328,0.005972,-0.008139,0.387351,-1.251048,-2.540067,0,?
200,'2022/11/20 22:45:25:988',2,0.006235,0.002288,-0.00416,0.387789,-1.251201,-2.540202,0,?
201,'2022/11/20 22:45:26:022',2,0.013715,0.001443,0.00392,0.388343,-1.251951,-2.540064,0,?
202,'2022/11/20 22:45:26:055',2,0.009493,0.000577,-0.005973,0.388215,-1.250966,-2.540874,0,?
203,'2022/11/20 22:45:26:088',2,0.00909,0.003449,-0.004982,0.388285,-1.250403,-2.541152,0,?
204,'2022/11/20 22:45:26:122',2,0.009121,0.00334,-0.0071,0.388332,-1.25015,-2.540628,0,?
205,'2022/11/20 22:45:26:155',2,0.010674,0.00929,-0.001843,0.388513,-1.250463,-2.539136,0,?
206,'2022/11/20 22:45:26:189',2,0.001081,0.001529,0.010095,0.388733,-1.251122,-2.537482,0,?
207,'2022/11/20 22:45:26:222',2,0.009606,0.002371,0.013417,0.388967,-1.250921,-2.536938,0,?
208,'2022/11/20 22:45:26:255',2,0.006644,0.004425,0.005916,0.388483,-1.250684,-2.536052,0,?
209,'2022/11/20 22:45:26:288',2,-0.001827,-0.002943,0.016945,0.388385,-1.25176,-2.534563,0,?
210,'2022/11/20 22:45:26:322',2,0.000041,-0.000905,0.019879,0.388247,-1.252244,-2.534088,0,?
211,'2022/11/20 22:45:26:355',2,0.006709,-0.002212,0.003298,0.387939,-1.251966,-2.534578,0,?
212,'2022/11/20 22:45:26:388',2,0.014498,-0.000107,0.002823,0.388069,-1.252836,-2.534305,0,?
213,'2022/11/20 22:45:26:422',2,0.015931,0.002615,0.012982,0.38801,-1.254027,-2.534255,0,?
214,'2022/11/20 22:45:26:455',2,0.009706,0.010244,-0.008141,0.386971,-1.253531,-2.535195,0,?
215,'2022/11/20 22:45:26:488',2,0.003119,0.006623,-0.017249,0.386522,-1.253519,-2.534649,0,?
216,'2022/11/20 22:45:26:521',2,0.012302,0.005991,0.006338,0.386713,-1.254537,-2.53331,0,?
217,'2022/11/20 22:45:26:555',2,0.012006,-0.00081,0.006307,0.385696,-1.255002,-2.532738,0,?
218,'2022/11/20 22:45:26:588',2,0.000353,0.001678,-0.001815,0.384347,-1.254458,-2.532499,0,?
219,'2022/11/20 22:45:26:621',2,0.001214,-0.002227,0.003051,0.3842,-1.254723,-2.531598,0,?
220,'2022/11/20 22:45:26:655',2,-0.000196,-0.001052,0.014042,0.384052,-1.255897,-2.530722,0,?
221,'2022/11/20 22:45:26:688',2,-0.00535,-0.002487,0.002667,0.38359,-1.255602,-2.53108,0,?
222,'2022/11/20 22:45:26:722',2,-0.002306,0.004356,0.001213,0.383976,-1.255418,-2.531135,0,?
223,'2022/11/20 22:45:26:755',2,0.008217,-0.000589,0.007315,0.384288,-1.256261,-2.530546,0,?
224,'2022/11/20 22:45:26:789',2,-0.000104,0.005055,0.010258,0.384336,-1.257105,-2.530359,0,?
225,'2022/11/20 22:45:26:822',2,0.007291,0.002606,0.003611,0.384723,-1.256927,-2.53052,0,?
226,'2022/11/20 22:45:26:855',2,0.008039,0.005285,0.009099,0.385242,-1.256881,-2.530689,0,?
227,'2022/11/20 22:45:26:888',2,-0.004692,0.000818,-0.003603,0.385708,-1.255425,-2.531965,0,?
228,'2022/11/20 22:45:26:921',2,0.010035,0.007495,-0.009077,0.386936,-1.254998,-2.532285,0,?
229,'2022/11/20 22:45:26:955',2,0.002193,0.000285,0.004913,0.387999,-1.255587,-2.532022,0,?
230,'2022/11/20 22:45:26:988',2,0.004529,0.001096,0.009616,0.389089,-1.254674,-2.532895,0,?
231,'2022/11/20 22:45:27:021',2,0.00186,-0.000776,0.00545,0.390002,-1.253545,-2.53429,0,?
