@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute realinputs-1 numeric
@attribute realinputs-2 numeric
@attribute realinputs-3 numeric
@attribute realinputs-4 numeric
@attribute realinputs-5 numeric
@attribute realinputs-6 numeric
@attribute realinputs-7 numeric
@attribute realinputs-8 numeric
@attribute realinputs-9 numeric
@attribute hori_android1 numeric
@attribute verti_android1 numeric
@attribute roll_android1 {0,1,2,3}
@attribute hori_ios1 numeric
@attribute verti_ios1 numeric
@attribute roll_ios1 {0,1,2,3}
@attribute hori_ios2 numeric
@attribute verti_ios2 numeric
@attribute roll_ios2 {0,1,2,3}

@data
113,'2022/11/28 12:13:37:920',13,332.288025,5.370821,-1.800607,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
114,'2022/11/28 12:13:42:237',14,300.32077,1.249368,-4.367033,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
115,'2022/11/28 12:13:42:259',14,300.146423,1.248533,-4.36939,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
116,'2022/11/28 12:13:42:276',14,300.413818,1.245155,-4.372652,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
117,'2022/11/28 12:13:42:290',14,300.413818,1.245155,-4.372652,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
118,'2022/11/28 12:13:42:319',14,300.533752,1.232815,-4.370868,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
119,'2022/11/28 12:13:42:323',14,300.533752,1.232815,-4.370868,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
120,'2022/11/28 12:13:42:350',14,300.432404,1.226139,-4.367158,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
121,'2022/11/28 12:13:42:366',14,300.180389,1.225106,-4.361611,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
122,'2022/11/28 12:13:42:380',14,299.688354,1.233043,-4.352646,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
123,'2022/11/28 12:13:54:187',15,329.272095,12.803144,-2.724031,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
124,'2022/11/28 12:13:54:199',15,329.272095,12.803144,-2.724031,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
125,'2022/11/28 12:13:54:218',15,328.888733,12.777295,-2.733161,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
126,'2022/11/28 12:13:54:233',15,328.888733,12.777295,-2.733161,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
127,'2022/11/28 12:13:54:265',15,328.847504,12.745408,-2.722659,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
128,'2022/11/28 12:13:54:281',15,328.806152,12.726943,-2.716289,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
129,'2022/11/28 12:13:54:295',15,328.770142,12.713994,-2.711649,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
130,'2022/11/28 12:13:54:310',15,328.770142,12.713994,-2.711649,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
131,'2022/11/28 12:13:59:023',16,297.128052,-15.785447,-2.227541,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
132,'2022/11/28 12:13:59:058',16,297.933868,-15.79287,-2.182428,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
133,'2022/11/28 12:13:59:067',16,297.933868,-15.79287,-2.182428,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
134,'2022/11/28 12:13:59:087',16,298.551727,-15.805407,-2.162527,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
135,'2022/11/28 12:13:59:105',16,299.260681,-15.821483,-2.140859,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
136,'2022/11/28 12:13:59:116',16,299.841644,-15.837866,-2.117368,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
137,'2022/11/28 12:13:59:147',16,300.35321,-15.847337,-2.094925,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
138,'2022/11/28 12:13:59:153',16,300.35321,-15.847337,-2.094925,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
139,'2022/11/28 12:15:32:907',17,234.008286,3.443119,-6.254494,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
140,'2022/11/28 12:15:32:923',17,233.872986,3.439903,-6.265179,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
141,'2022/11/28 12:15:32:938',17,233.273315,3.431306,-6.273726,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
142,'2022/11/28 12:15:32:951',17,233.273315,3.431306,-6.273726,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
143,'2022/11/28 12:15:32:982',17,232.90506,3.407328,-6.284005,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
144,'2022/11/28 12:15:32:987',17,232.90506,3.407328,-6.284005,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
145,'2022/11/28 12:15:33:012',17,233.102051,3.391318,-6.290427,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
146,'2022/11/28 12:15:33:027',17,233.315002,3.375177,-6.300499,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
147,'2022/11/28 12:15:33:043',17,233.321899,3.363127,-6.311591,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
148,'2022/11/28 12:15:33:057',17,233.386734,3.357038,-6.319984,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
149,'2022/11/28 12:15:41:051',18,325.148804,2.199833,-2.732909,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
150,'2022/11/28 12:15:41:066',18,325.198853,2.203438,-2.739454,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
151,'2022/11/28 12:15:41:083',18,325.23703,2.209773,-2.744413,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
152,'2022/11/28 12:15:41:097',18,325.186432,2.219724,-2.750825,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
153,'2022/11/28 12:15:41:116',18,325.100403,2.228774,-2.756144,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
154,'2022/11/28 12:15:41:146',18,325.142212,2.232238,-2.764164,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
155,'2022/11/28 12:15:41:151',18,325.142212,2.232238,-2.764164,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
156,'2022/11/28 12:15:41:175',18,325.218353,2.231454,-2.774142,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
157,'2022/11/28 12:15:41:190',18,325.140167,2.230255,-2.784305,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
158,'2022/11/28 13:32:30:492',19,324.688293,4.748485,5.754736,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
159,'2022/11/28 13:32:30:510',19,324.717255,4.741952,5.76645,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
160,'2022/11/28 13:32:30:527',19,324.752319,4.744403,5.774067,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
161,'2022/11/28 13:32:30:544',19,324.785797,4.754932,5.7774,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
162,'2022/11/28 13:32:30:561',19,324.815002,4.767917,5.779572,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
163,'2022/11/28 13:32:30:577',19,324.815002,4.767917,5.779572,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
164,'2022/11/28 13:32:30:598',19,324.900574,4.779482,5.792091,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
165,'2022/11/28 13:32:30:615',19,324.900574,4.779482,5.792091,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
166,'2022/11/28 13:32:30:632',19,324.949371,4.783021,5.793412,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
167,'2022/11/28 13:32:30:650',19,324.981598,4.783309,5.783211,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
168,'2022/11/28 13:32:38:396',20,320.158356,0.703087,3.179405,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
169,'2022/11/28 13:32:38:415',20,320.159698,0.715009,3.176927,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
170,'2022/11/28 13:32:38:431',20,320.147217,0.721067,3.174983,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
171,'2022/11/28 13:32:38:449',20,320.129333,0.715645,3.176167,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
172,'2022/11/28 13:32:38:476',20,320.09848,0.683699,3.18683,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
173,'2022/11/28 13:32:38:487',20,320.09848,0.683699,3.18683,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
174,'2022/11/28 13:32:38:509',20,320.08252,0.672393,3.190497,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
175,'2022/11/28 13:32:38:522',20,320.058807,0.666428,3.190896,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
176,'2022/11/28 13:32:38:543',20,320.036713,0.65923,3.18901,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
177,'2022/11/28 13:32:55:244',21,337.437317,13.374433,-0.006965,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
178,'2022/11/28 13:32:55:256',21,337.437317,13.374433,-0.006965,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
179,'2022/11/28 13:32:55:276',21,337.454681,13.36929,-0.008029,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
180,'2022/11/28 13:32:55:291',21,337.473175,13.357971,-0.010232,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
181,'2022/11/28 13:32:55:306',21,337.496979,13.340934,-0.010301,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
182,'2022/11/28 13:32:55:337',21,337.538177,13.306616,-0.012416,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
183,'2022/11/28 13:32:55:347',21,337.538177,13.306616,-0.012416,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
184,'2022/11/28 13:32:55:371',21,337.574829,13.300909,-0.014963,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
185,'2022/11/28 13:32:55:388',21,337.574829,13.300909,-0.014963,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
